morador_id,codigo
372,codigo_DOC3
372,codigo_DOC4
372,codigo_DOC5
373,codigo_DOC1
373,codigo_DOC2
373,codigo_DOC3
373,codigo_DOC4
373,codigo_DOC5
374,codigo_DOC4
375,codigo_DOC1
375,codigo_DOC2
375,codigo_DOC3
375,codigo_DOC4
375,codigo_DOC5
377,codigo_DOC1
377,codigo_DOC2
377,codigo_DOC4
377,codigo_DOC5
378,codigo_DOC1
379,codigo_DOC2
380,codigo_DOC1
380,codigo_DOC2
380,codigo_DOC3
380,codigo_DOC4
380,codigo_DOC5
382,codigo_DOC1
382,codigo_DOC4
382,codigo_DOC5
383,codigo_DOC1
383,codigo_DOC2
383,codigo_DOC3
384,codigo_DOC1
384,codigo_DOC3
385,codigo_DOC1
385,codigo_DOC2
385,codigo_DOC3
386,codigo_DOC1
386,codigo_DOC3
386,codigo_DOC4
388,codigo_DOC1
388,codigo_DOC2
388,codigo_DOC3
388,codigo_DOC4
388,codigo_DOC5
389,codigo_DOC1
389,codigo_DOC2
389,codigo_DOC3
389,codigo_DOC4
389,codigo_DOC5
390,codigo_DOC2
390,codigo_DOC3
391,codigo_DOC1
391,codigo_DOC2
391,codigo_DOC4
391,codigo_DOC5
392,codigo_DOC2
394,codigo_DOC2
394,codigo_DOC3
395,codigo_DOC1
395,codigo_DOC2
395,codigo_DOC3
395,codigo_DOC4
396,codigo_DOC1
396,codigo_DOC2
396,codigo_DOC3
397,codigo_DOC2
397,codigo_DOC4
398,codigo_DOC1
398,codigo_DOC2
398,codigo_DOC3
398,codigo_DOC4
398,codigo_DOC5
399,codigo_DOC1
399,codigo_DOC2
399,codigo_DOC3
399,codigo_DOC5
400,codigo_DOC2
401,codigo_DOC1
401,codigo_DOC3
401,codigo_DOC4
402,codigo_DOC1
402,codigo_DOC2
402,codigo_DOC3
402,codigo_DOC4
403,codigo_DOC1
403,codigo_DOC2
403,codigo_DOC3
403,codigo_DOC4
403,codigo_DOC5
405,codigo_DOC1
405,codigo_DOC2
405,codigo_DOC3
405,codigo_DOC4
405,codigo_DOC5
406,codigo_DOC1
406,codigo_DOC2
406,codigo_DOC3
406,codigo_DOC4
406,codigo_DOC5
407,codigo_DOC1
407,codigo_DOC3
407,codigo_DOC4
407,codigo_DOC5
408,codigo_DOC3
409,codigo_DOC2
409,codigo_DOC3
410,codigo_DOC1
410,codigo_DOC4
410,codigo_DOC5
411,codigo_DOC1
411,codigo_DOC2
411,codigo_DOC3
411,codigo_DOC4
411,codigo_DOC5
412,codigo_DOC1
412,codigo_DOC2
412,codigo_DOC3
413,codigo_DOC1
413,codigo_DOC2
413,codigo_DOC3
413,codigo_DOC4
413,codigo_DOC5
414,codigo_DOC1
414,codigo_DOC3
415,codigo_DOC1
415,codigo_DOC2
415,codigo_DOC3
415,codigo_DOC4
415,codigo_DOC5
417,codigo_DOC1
417,codigo_DOC2
417,codigo_DOC3
417,codigo_DOC4
417,codigo_DOC5
418,codigo_DOC1
418,codigo_DOC2
418,codigo_DOC3
418,codigo_DOC4
418,codigo_DOC5
419,codigo_DOC1
419,codigo_DOC2
419,codigo_DOC3
420,codigo_DOC1
420,codigo_DOC3
422,codigo_DOC1
422,codigo_DOC2
422,codigo_DOC3
422,codigo_DOC4
422,codigo_DOC5
423,codigo_DOC3
423,codigo_DOC4
424,codigo_DOC2
426,codigo_DOC1
426,codigo_DOC3
427,codigo_DOC1
427,codigo_DOC2
427,codigo_DOC3
427,codigo_DOC4
428,codigo_DOC1
428,codigo_DOC2
428,codigo_DOC3
428,codigo_DOC4
428,codigo_DOC5
429,codigo_DOC1
429,codigo_DOC2
429,codigo_DOC3
429,codigo_DOC4
