ID,Codigo_da_RA,nome_bairro
276,18,Santíssimo
276,18,Cosmos
277,18,Campo Grande
277,18,Santíssimo
277,18,Cosmos
278,18,Campo Grande
278,18,Santíssimo
278,18,Cosmos
288,18,Campo Grande
288,18,Santíssimo
288,18,Cosmos
289,18,Campo Grande
289,18,Santíssimo
289,18,Cosmos
290,18,Campo Grande
290,18,Santíssimo
290,18,Cosmos
291,18,Campo Grande
291,18,Santíssimo
291,18,Cosmos
302,18,Campo Grande
302,18,Santíssimo
302,18,Cosmos
303,18,Campo Grande
303,18,Santíssimo
303,18,Cosmos
304,18,Campo Grande
304,18,Santíssimo
304,18,Cosmos
2272,18,Campo Grande
2272,18,Santíssimo
2272,18,Cosmos
2275,18,Campo Grande
2275,18,Santíssimo
2275,18,Cosmos
2276,18,Campo Grande
2276,18,Santíssimo
2276,18,Cosmos
2277,18,Campo Grande
2277,18,Santíssimo
2277,18,Cosmos
2280,18,Campo Grande
2280,18,Santíssimo
2280,18,Cosmos
2281,18,Campo Grande
2281,18,Santíssimo
2281,18,Cosmos
2282,18,Campo Grande
2282,18,Santíssimo
2282,18,Cosmos
2283,18,Campo Grande
2283,18,Santíssimo
2283,18,Cosmos
2305,18,Campo Grande
2305,18,Santíssimo
2305,18,Cosmos
2308,18,Campo Grande
2308,18,Santíssimo
2308,18,Cosmos
2309,18,Campo Grande
2309,18,Santíssimo
2309,18,Cosmos
2322,18,Campo Grande
2322,18,Santíssimo
2322,18,Cosmos
2323,18,Campo Grande
2323,18,Santíssimo
